ParticipantID,MotionParallax,TrialNumber,Time,headPositionX,headPositionY,headPositionZ,headRotationX,headRotationY,headRotationZ
sef,1,1,1.257257,0.04114457,2.892114,-15.43709,356.9514,0.8460494,0.4759852,
sef,1,1,1.268467,0.04114898,2.89213,-15.43711,356.9508,0.8446701,0.4836968,
sef,1,1,1.279704,0.04089197,2.892362,-15.4374,356.9376,0.8419533,0.4797994,
sef,1,1,1.290754,0.04106243,2.892456,-15.43733,356.9485,0.8410404,0.4851648,
sef,1,1,1.301819,0.04107475,2.892483,-15.43735,356.957,0.8413259,0.488098,
sef,1,1,1.313134,0.04114041,2.89254,-15.43737,356.9439,0.8387137,0.4862333,
sef,1,1,1.324996,0.04112788,2.892547,-15.43738,356.9352,0.8351213,0.4833439,
sef,1,1,1.339614,0.04109908,2.892631,-15.43735,356.9453,0.8385769,0.4890484,
sef,1,1,1.351252,0.04105231,2.892533,-15.43733,356.9504,0.8396336,0.5031145,
sef,1,1,1.362491,0.04101796,2.892545,-15.43735,356.9496,0.8424373,0.5081443,
sef,1,1,1.37361,0.04099087,2.892541,-15.43737,356.9375,0.8430209,0.5077755,
sef,1,1,1.384653,0.04097042,2.892556,-15.43739,356.9325,0.8437232,0.5033476,
sef,1,1,1.395927,0.04116194,2.892714,-15.43732,356.9508,0.8525766,0.4882064,
sef,1,1,1.407239,0.0411665,2.89273,-15.43733,356.9532,0.8579178,0.4880114,
sef,1,1,1.417918,0.04109307,2.892845,-15.43739,356.958,0.8478884,0.4908922,
sef,1,1,1.42978,0.04110803,2.892841,-15.43741,356.9523,0.8499066,0.4863928,
sef,1,1,1.440842,0.0411219,2.892819,-15.43741,356.9482,0.8516133,0.4775585,
sef,1,1,1.451292,0.04117339,2.892713,-15.43734,356.9657,0.8534333,0.4838012,
sef,1,1,1.462644,0.04116521,2.892737,-15.43733,356.9858,0.8463892,0.4828153,
sef,1,1,1.473671,0.04110894,2.89286,-15.43738,356.9439,0.8473769,0.4893647,
sef,1,1,1.484637,0.04108217,2.892888,-15.43741,356.9465,0.8476185,0.4972686,
sef,1,1,1.495824,0.04102396,2.893069,-15.43756,356.9516,0.8454604,0.4835599,
sef,1,1,1.506853,0.04098952,2.893142,-15.43759,356.9548,0.8477051,0.4843743,
